Elapsed [2:08:54], Iteration [75000/1000000], G/loss_id: 3.2814, G/loss_id_psnt: 3.2682, G/loss_cd: 0.0274, mvg_avg: 0.0313
Elapsed [2:09:45], Iteration [75500/1000000], G/loss_id: 4.5517, G/loss_id_psnt: 4.5404, G/loss_cd: 0.0317, mvg_avg: 0.0317
Elapsed [2:10:38], Iteration [76000/1000000], G/loss_id: 4.1909, G/loss_id_psnt: 4.1941, G/loss_cd: 0.0348, mvg_avg: 0.0318
Elapsed [2:11:31], Iteration [76500/1000000], G/loss_id: 2.9198, G/loss_id_psnt: 2.9181, G/loss_cd: 0.0278, mvg_avg: 0.0323
Elapsed [2:12:24], Iteration [77000/1000000], G/loss_id: 4.1088, G/loss_id_psnt: 4.0987, G/loss_cd: 0.0344, mvg_avg: 0.0316
Elapsed [2:13:16], Iteration [77500/1000000], G/loss_id: 6.0958, G/loss_id_psnt: 6.0894, G/loss_cd: 0.0326, mvg_avg: 0.0315
Elapsed [2:14:08], Iteration [78000/1000000], G/loss_id: 4.4626, G/loss_id_psnt: 4.4495, G/loss_cd: 0.0347, mvg_avg: 0.0312
Elapsed [2:15:01], Iteration [78500/1000000], G/loss_id: 6.0042, G/loss_id_psnt: 6.0037, G/loss_cd: 0.0374, mvg_avg: 0.0318
Elapsed [2:15:52], Iteration [79000/1000000], G/loss_id: 4.2942, G/loss_id_psnt: 4.2831, G/loss_cd: 0.0329, mvg_avg: 0.0320
Elapsed [2:16:45], Iteration [79500/1000000], G/loss_id: 2.8873, G/loss_id_psnt: 2.8836, G/loss_cd: 0.0308, mvg_avg: 0.0308
Elapsed [2:17:38], Iteration [80000/1000000], G/loss_id: 6.2915, G/loss_id_psnt: 6.2857, G/loss_cd: 0.0402, mvg_avg: 0.0306
Elapsed [2:18:33], Iteration [80500/1000000], G/loss_id: 2.5910, G/loss_id_psnt: 2.5876, G/loss_cd: 0.0283, mvg_avg: 0.0319
Elapsed [2:19:26], Iteration [81000/1000000], G/loss_id: 5.5954, G/loss_id_psnt: 5.5843, G/loss_cd: 0.0343, mvg_avg: 0.0310
